0, True, Normal, -0.04449223, -0.0428243, -0.06776018, CubeS, 0.015439, 0.040576, 0.065400, Policy
2045, True, Normal, -0.17964295, -0.17430367, -0.24212831, CubeS, -0.034094, 0.005350, 0.065400, Policy
2046, True, Normal, -0.19420887, -0.18497408, -0.11034718, CylinderS, 0.012389, 0.031562, 0.065400, Policy
2047, True, Normal, -0.11405902, -0.18932931, -0.06909666, CubeB, -0.014706, 0.017426, 0.065400, Policy
2048, True, Normal, 0.01227838, -0.10783434, -0.25704605, CubeS, 0.004566, 0.043469, 0.065400, Policy
2049, True, Normal, -0.07008362, -0.09001485, -0.02354301, CubeB, -0.004990, 0.038166, 0.065400, Policy
2050, True, Top, -1.78707275, -0.13885787, -1.70869732, Cone1S, 0.005181, -0.010637, 0.050000, Policy
2051, True, Normal, -0.19424314, 0.01503123, -0.25979813, CylinderS, -0.027143, 0.032091, 0.065400, Policy
2052, True, Normal, -0.2073169, -0.17501036, -0.06506159, CubeB, -0.003447, 0.022436, 0.065400, Policy
2053, True, Normal, -0.11057763, -0.15676518, -0.10167298, CylinderS, 0.035268, 0.038163, 0.065400, Policy
2054, True, Normal, -0.00237181, 0.0999772, -0.0190331, CubeS, -0.060465, 0.005156, 0.065400, Policy
2055, True, Top, -1.60999842, -0.06075604, -1.59602391, Cone1S, 0.006077, 0.043182, 0.050000, Policy
2056, True, Normal, -0.15704994, -0.053245, -0.09822951, CylinderS, 0.024541, 0.019656, 0.065400, Policy
2057, True, Top, -1.57023038, -0.09701733, -1.44580238, Cone1S, -0.006928, 0.037992, 0.050000, Policy
2058, True, Normal, -0.16385906, -0.22239008, -0.09776781, CubeB, 0.030206, 0.010319, 0.065400, Policy
2059, True, Normal, 0.01685088, -0.04486892, -0.04973951, CubeS, 0.010242, 0.011150, 0.065400, Policy
2060, True, Top, -1.71984724, -0.15711571, -1.74365484, Cone1S, -0.043264, -0.030330, 0.050000, Policy
2061, True, Normal, -0.17581159, -0.27672945, -0.12673537, CubeS, 0.039396, 0.017684, 0.065400, Policy
2062, True, Normal, 0.0550629, 0.00854883, -0.16631688, CylinderS, 0.050146, 0.019208, 0.065400, Policy
2063, True, Normal, -0.10948852, -0.23155974, -0.02086744, CubeB, 0.002719, 0.017188, 0.065400, Policy
2064, True, Normal, -0.01548706, -0.03382631, -0.26249208, CubeS, 0.016773, 0.036946, 0.065400, Policy
2065, True, Normal, -0.15388197, -0.01726689, -0.00207475, CubeB, -0.049000, 0.006361, 0.065400, Policy
2066, True, Top, -1.73721766, 0.01437661, -1.59507756, Cone1S, -0.023615, 0.003288, 0.050000, Policy
2067, True, Normal, 0.00252386, -0.11995281, -0.05202133, CylinderS, 0.028384, 0.005513, 0.065400, Policy
2068, True, Normal, -0.05035813, -0.03743285, 0.12617059, CubeB, -0.021049, 0.000546, 0.065400, Policy
2069, True, Normal, -0.10403618, -0.04059314, -0.11384635, CylinderS, 0.032138, 0.007259, 0.065400, Policy
2070, True, Normal, -0.03801072, -0.2299451, -0.17574153, CubeS, 0.040315, 0.013146, 0.065400, Policy
2071, True, Top, -1.70359122, -0.14353011, -1.81761181, Cone1S, -0.018350, -0.036104, 0.050000, Policy
2072, True, Normal, -0.12204211, -0.0702097, -0.13605922, CylinderS, -0.031422, 0.029829, 0.065400, Policy
2073, True, Top, -1.65236979, -0.01726107, -1.5270819, Cone1S, 0.008458, -0.019715, 0.050000, Policy
2074, True, Normal, -0.24984091, -0.15930924, -0.20676984, CubeB, 0.016432, 0.033520, 0.065400, Policy
2075, True, Normal, -0.06285931, -0.03831655, -0.12302989, CubeS, -0.016591, 0.015056, 0.065400, Policy
2076, True, Top, -1.68860264, -0.10796422, -1.7782135, Cone1S, 0.033898, 0.018205, 0.050000, Policy
2077, True, Normal, -0.08197068, -0.14792901, 0.12808308, CubeS, -0.043453, 0.021304, 0.065400, Policy
2078, True, Normal, -0.07821637, 0.00237891, -0.12924577, CylinderS, -0.055875, 0.017831, 0.065400, Policy
2079, True, Normal, -0.23504448, -0.12028564, -0.07044205, CubeB, 0.002278, 0.031274, 0.065400, Policy
2080, True, Normal, -0.19675725, -0.24413015, -0.16406268, CubeS, 0.033667, 0.028196, 0.065400, Policy
2081, True, Normal, 0.06804877, 0.04654428, -0.12465248, CubeB, -0.050996, 0.008611, 0.065400, Policy
2082, True, Top, -1.69908679, -0.01337372, -1.63406294, Cone1S, -0.026583, 0.045188, 0.050000, Policy
2083, True, Normal, -0.06971711, -0.0946728, -0.0509732, CylinderS, 0.008161, 0.036704, 0.065400, Policy
2084, True, Normal, -0.04717017, -0.08352325, -0.2998895, CubeB, 0.012795, 0.022998, 0.065400, Policy
2085, True, Normal, -0.07060204, -0.15788309, 0.00400005, CylinderS, -0.054841, 0.003479, 0.065400, Policy
2086, True, Normal, -0.12409713, -0.07259749, -0.04824377, CubeS, -0.023127, 0.039072, 0.065400, Policy
2087, True, Top, -1.53261867, 0.02131383, -1.61851216, Cone1S, 0.031686, 0.017231, 0.050000, Policy
2088, True, Normal, -0.00282376, -0.15269214, -0.11747319, CylinderS, -0.040194, 0.015568, 0.065400, Policy
2089, True, Top, -1.7761152, -0.0815308, -1.6644575, Cone1S, 0.037019, -0.031921, 0.050000, Policy
2090, True, Normal, -0.08781764, -0.29216671, -0.15915742, CubeB, -0.071090, 0.002384, 0.065400, Policy
2091, True, Normal, -0.1940271, 0.01845122, 0.05005394, CubeS, -0.012139, 0.034632, 0.065400, Policy
2092, True, Top, -1.6172509, 0.03098793, -1.78142796, Cone1S, 0.006013, 0.027085, 0.050000, Policy
2093, True, Normal, -0.23103993, 0.11540726, -0.21634752, CubeS, 0.051659, 0.018710, 0.065400, Policy
2094, True, Normal, -0.07495972, -0.12560785, -0.18488505, CylinderS, 0.029298, 0.020688, 0.065400, Policy
2095, True, Normal, -0.0327133, -0.02010443, -0.15044982, CubeB, -0.034157, 0.005417, 0.065400, Policy
2096, True, Normal, -0.08651884, -0.17033393, -0.22503712, CubeS, -0.071713, 0.000479, 0.065400, Policy
2097, True, Normal, -0.09219093, 0.03541235, -0.23981609, CubeB, -0.016688, 0.011845, 0.065400, Policy
2098, True, Top, -1.79158957, -0.01585123, -1.6203742, Cone1S, -0.022953, -0.007238, 0.050000, Policy
2099, True, Normal, -0.12347404, -0.11389459, -0.02641068, CylinderS, 0.003359, 0.027329, 0.065400, Policy
2100, True, Normal, -0.07364241, -0.08954048, -0.14179814, CubeB, -0.011128, 0.029135, 0.065400, Policy
2101, True, Normal, 0.03185932, -0.12514098, -0.05327836, CylinderS, -0.058407, 0.009557, 0.065400, Policy
2102, True, Normal, -0.17465694, -0.10918247, 0.07471976, CubeS, -0.065263, 0.006199, 0.065400, Policy
2103, True, Top, -1.63029623, -0.2464557, -1.60344729, Cone1S, 0.033564, -0.023957, 0.050000, Policy
2104, True, Normal, -0.02145459, -0.17095022, 0.0894806, CylinderS, -0.004416, 0.003065, 0.065400, Policy
2105, True, Top, -1.67714717, -0.05520746, -1.75927062, Cone1S, 0.012601, 0.029058, 0.050000, Policy
2106, True, Normal, -0.05834276, -0.05239629, -0.10079461, CubeB, -0.046395, 0.009161, 0.065400, Policy
2107, True, Normal, -0.16746971, -0.13939481, -0.01767778, CubeS, -0.016548, 0.030522, 0.065400, Policy
2108, True, Top, -1.6815011, 0.06858491, -1.55957661, Cone1S, 0.031217, -0.019594, 0.050000, Policy
2109, True, Normal, -0.02456226, -0.21560812, -0.01892988, CubeS, -0.037532, 0.031039, 0.065400, Policy
2110, True, Normal, -0.06626288, -0.09910535, 0.02675431, CylinderS, 0.023521, 0.018801, 0.065400, Policy
2111, True, Normal, 0.0419329, -0.05098539, -0.00440401, CubeB, -0.015595, 0.015103, 0.065400, Policy
2112, True, Normal, -0.09397284, -0.11085229, -0.07618291, CubeS, -0.057369, 0.003578, 0.065400, Policy
2113, True, Normal, -0.08044197, -0.13377294, -0.09766297, CubeB, 0.016459, 0.026424, 0.065400, Policy
2114, True, Top, -1.76463509, -0.13582293, -1.52149228, Cone1S, -0.034886, 0.000065, 0.050000, Policy
2115, True, Normal, 0.02403388, -0.00189308, -0.02776628, CylinderS, 0.052313, 0.019697, 0.065400, Policy
2116, True, Normal, -0.03385792, -0.04916097, -0.03223453, CubeB, 0.033893, 0.011683, 0.065400, Policy
2117, True, Normal, -0.1876819, 0.03963821, -0.001639, CylinderS, 0.046642, 0.020522, 0.065400, Policy
2118, True, Normal, -0.07892643, -0.07414292, -0.23550866, CubeS, -0.003601, 0.002800, 0.065400, Policy
2119, True, Top, -1.66325575, -0.05897082, -1.6674743, Cone1S, -0.033804, -0.017457, 0.050000, Policy
2120, True, Normal, -0.12009297, -0.0962755, -0.07632407, CylinderS, -0.001296, 0.051256, 0.065400, Policy
2121, True, Top, -1.65408467, -0.31715166, -1.62512222, Cone1S, -0.014088, -0.010889, 0.050000, Policy
2122, True, Normal, -0.04493034, -0.06861268, -0.14515183, CubeB, -0.015085, 0.021873, 0.065400, Policy
2123, True, Normal, -0.07654313, 0.02779994, -0.1087866, CubeS, -0.005124, 0.044354, 0.065400, Policy
2124, True, Top, -1.7172107, -0.13914532, -1.62298169, Cone1S, 0.017803, -0.006543, 0.050000, Policy
2125, True, Normal, -0.05948232, -0.02533024, -0.04027954, CubeS, 0.000302, 0.013391, 0.065400, Policy
2126, True, Normal, -0.01961491, -0.15910165, -0.03851237, CylinderS, -0.004288, 0.029067, 0.065400, Policy
2127, True, Normal, -0.11928408, -0.04028268, -0.11741778, CubeB, 0.011159, 0.025169, 0.065400, Policy
2128, True, Normal, 0.06273223, -0.02897918, 0.0566822, CubeS, -0.051965, 0.007477, 0.065400, Policy
2129, True, Normal, -0.07344883, -0.16275503, 0.0405985, CubeB, 0.025717, 0.023059, 0.065400, Policy
2130, True, Top, -1.51563330e+00, -1.58203996e-03, -1.70506379e+00, Cone1S, -0.023470, 0.039949, 0.050000, Policy
2131, True, Normal, -0.12483774, -0.09004664, -0.05130879, CylinderS, 0.009380, 0.008637, 0.065400, Policy
2132, True, Normal, -0.04584823, -0.1584189, -0.144557, CubeB, 0.025519, 0.000910, 0.065400, Policy
2133, True, Normal, -0.07361394, 0.05740553, -0.06464373, CylinderS, -0.002891, 0.001744, 0.065400, Policy
2134, True, Normal, -0.04534015, 0.00129538, -0.08303937, CubeS, -0.018099, 0.018738, 0.065400, Policy
2135, True, Top, -1.66927426, -0.05422739, -1.82521372, Cone1S, -0.022749, -0.050079, 0.050000, Policy
2136, True, Normal, -0.1546432, -0.01812155, 0.00854104, CylinderS, 0.046804, 0.004303, 0.065400, Policy
2137, True, Top, -1.65238988, -0.1173638, -1.63777377, Cone1S, -0.027043, -0.041647, 0.050000, Policy
2138, True, Normal, -0.12020679, -0.0799885, -0.18160811, CubeB, -0.012980, 0.008899, 0.065400, Policy
2139, True, Normal, -0.04536186, -0.25233065, -0.0657402, CubeS, -0.013495, 0.040869, 0.065400, Policy
2140, True, Top, -1.58130781, -0.09779999, -1.73147424, Cone1S, 0.005722, 0.007831, 0.050000, Policy
2141, True, Normal, -0.08808821, -0.20734806, -0.00703902, CubeS, 0.022319, 0.019641, 0.065400, Policy
2142, True, Normal, -0.15495359, -0.04136323, -0.13365125, CylinderS, 0.061443, 0.009704, 0.065400, Policy
2143, True, Normal, -0.07954335, 0.02383809, -0.13690999, CubeB, -0.037093, 0.010704, 0.065400, Policy
2144, True, Normal, -0.18373485, -0.23784588, -0.01787385, CubeS, -0.023757, 0.014555, 0.065400, Policy
2145, True, Normal, -0.16297255, 0.12420003, -0.24482413, CubeB, 0.020960, 0.022146, 0.065400, Policy
2146, True, Top, -1.63912257, -0.1852692, -1.63744526, Cone1S, 0.032147, -0.008082, 0.050000, Policy
2147, True, Normal, -0.09040346, -0.07558498, 0.04314159, CylinderS, -0.049797, 0.023477, 0.065400, Policy
2148, True, Normal, 0.10827085, -0.10754774, -0.00360263, CubeB, 0.038177, 0.000893, 0.065400, Policy
2149, True, Normal, -0.19312732, 0.02249743, -0.0499408, CylinderS, -0.021013, 0.021275, 0.065400, Policy
2150, True, Normal, -0.07702506, -0.15898937, 0.04849485, CubeS, 0.035877, 0.025655, 0.065400, Policy
2151, True, Top, -1.74404136, -0.12492003, -1.6303287, Cone1S, -0.011312, -0.024242, 0.050000, Policy
2152, True, Normal, -0.02053798, -0.20208483, -0.04239459, CylinderS, -0.023614, 0.031566, 0.065400, Policy
2153, True, Top, -1.59495266, -0.08658593, -1.68585032, Cone1S, 0.019505, 0.051791, 0.050000, Policy
2154, True, Normal, -0.09241972, 0.03743142, -0.14846364, CubeB, -0.017628, 0.020998, 0.065400, Policy
2155, True, Normal, -0.08522009, -0.03238579, -0.09626378, CubeS, -0.012450, 0.013170, 0.065400, Policy
2156, True, Top, -1.58826834, -0.13044602, -1.76992005, Cone1S, -0.026546, 0.023537, 0.050000, Policy
2157, True, Normal, -0.11167152, -0.05565648, -0.00259404, CubeS, -0.017733, 0.016467, 0.065400, Policy
2158, True, Normal, -0.05759496, 0.04436389, 0.00081538, CylinderS, 0.010493, 0.002585, 0.065400, Policy
2159, True, Normal, -0.01601555, -0.09582275, -0.06451635, CubeB, 0.037469, 0.007295, 0.065400, Policy
2160, True, Normal, -0.09565793, -0.00426744, 0.11061417, CubeS, 0.001548, 0.036642, 0.065400, Policy
2161, True, Normal, -0.16821121, -0.12837722, -0.04303171, CubeB, 0.005184, 0.017735, 0.065400, Policy
2162, True, Top, -1.69391811, 0.03342211, -1.66443145, Cone1S, 0.040311, 0.009479, 0.050000, Policy
2163, True, Normal, -0.07891816, -0.06276457, -0.02784175, CylinderS, 0.026673, 0.045233, 0.065400, Policy
2164, True, Normal, -0.14646384, -0.22593383, -0.0106187, CubeB, -0.000249, 0.003415, 0.065400, Policy
2165, True, Normal, -0.17744984, -0.00725533, -0.00202703, CylinderS, -0.066014, 0.010639, 0.065400, Policy
2166, True, Normal, -0.18543951, 0.00724371, -0.1018221, CubeS, -0.024511, 0.023985, 0.065400, Policy
2167, True, Top, -1.61261217, -0.08556091, -1.62560386, Cone1S, 0.025651, -0.032726, 0.050000, Policy
2168, True, Normal, -0.04672766, 0.11525172, -0.10941221, CylinderS, 0.035628, 0.024083, 0.065400, Policy
2169, True, Top, -1.5502092, -0.07854337, -1.58668786, Cone1S, 0.019073, -0.053071, 0.050000, Policy
2170, True, Normal, 0.01026365, -0.04480269, -0.21627663, CubeB, -0.005983, 0.025748, 0.065400, Policy
2171, True, Normal, -0.2356507, -0.22534187, -0.05869523, CubeS, 0.040378, 0.026751, 0.065400, Policy
2172, True, Top, -1.77569423, -0.01908653, -1.74256707, Cone1S, 0.003250, -0.056408, 0.050000, Policy
2173, True, Normal, -0.04485157, -0.06787582, -0.02001515, CubeS, -0.021303, 0.001894, 0.065400, Policy
2174, True, Normal, -0.01379872, -0.1145457, 0.08423373, CylinderS, -0.038657, 0.000784, 0.065400, Policy
2175, True, Normal, -0.21566274, -0.30300279, -0.09827859, CubeB, -0.001270, 0.018067, 0.065400, Policy
2176, True, Normal, -0.04129973, 0.00905295, 0.04135862, CubeS, -0.050932, 0.010563, 0.065400, Policy
2177, True, Normal, 0.05159535, -0.07029869, -0.06095553, CubeB, 0.036228, 0.010358, 0.065400, Policy
2178, True, Top, -1.73826939, -0.13432175, -1.42059689, Cone1S, 0.022352, 0.023846, 0.050000, Policy
2179, True, Normal, 0.04586911, -0.06883364, -0.07162493, CylinderS, 0.011160, 0.015820, 0.065400, Policy
2180, True, Normal, -0.0485496, -0.07833057, -0.1122968, CubeB, -0.019041, 0.005349, 0.065400, Policy
2181, True, Normal, -0.05653325, -0.06033352, -0.17746828, CylinderS, -0.026520, 0.023443, 0.065400, Policy
2182, True, Normal, -0.09240253, -0.10381114, 0.06158338, CubeS, -0.016799, 0.037826, 0.065400, Policy
2183, True, Top, -1.70047398, -0.04602245, -1.6705479, Cone1S, 0.023027, 0.054397, 0.050000, Policy
2184, True, Normal, -0.02874551, -0.18598765, -0.20091525, CylinderS, 0.001220, 0.016689, 0.065400, Policy
2185, True, Top, -1.45749598, -0.12583569, -1.77019264, Cone1S, -0.011440, 0.016100, 0.050000, Policy
2186, True, Normal, -0.10733835, -0.10328162, -0.09804439, CubeB, -0.014266, 0.010009, 0.065400, Policy
2187, True, Normal, -0.095942, -0.19797421, -0.02162649, CubeS, 0.070969, 0.006404, 0.065400, Policy
2188, True, Top, -1.85465517, -0.12802529, -1.72040218, Cone1S, -0.025599, 0.030303, 0.050000, Policy
2189, True, Normal, 0.0190978, -0.05887017, -0.09927843, CubeS, 0.017942, 0.037840, 0.065400, Policy
2190, True, Normal, 0.05348421, -0.09530408, -0.20436728, CylinderS, -0.012829, 0.026970, 0.065400, Policy
2191, True, Normal, -0.12479986, -0.10681535, -0.04532538, CubeB, 0.028565, 0.017754, 0.065400, Policy
2192, True, Normal, -0.00157359, -0.04806262, -0.15752916, CubeS, 0.001971, 0.041122, 0.065400, Policy
2193, True, Normal, -0.10251683, -0.06431121, -0.06513833, CubeB, 0.052066, 0.002452, 0.065400, Policy
2194, True, Top, -1.48946156, -0.04401331, -1.61799712, Cone1S, -0.004430, 0.030880, 0.050000, Policy
2195, True, Normal, -0.02357607, -0.09885439, -0.20787927, CylinderS, 0.003875, 0.015003, 0.065400, Policy
2196, True, Normal, -0.02883459, -0.04178151, 0.00246812, CubeB, -0.015124, 0.017477, 0.065400, Policy
2197, True, Normal, -0.17633286, -0.01481785, -0.17602525, CylinderS, 0.032211, 0.013577, 0.065400, Policy
2198, True, Normal, -0.04298848, -0.14299445, -0.01871323, CubeS, -0.035571, 0.001886, 0.065400, Policy
2199, True, Top, -1.60159613, -0.12841883, -1.65804789, Cone1S, 0.032467, -0.048537, 0.050000, Policy
2200, True, Normal, -0.03112113, -0.13896383, -0.08268186, CylinderS, 0.029389, 0.042144, 0.065400, Policy
2201, True, Top, -1.84380564, -0.10194605, -1.49665975, Cone1S, -0.014264, 0.051198, 0.050000, Policy
2202, True, Normal, -0.05283898, -0.02094757, -0.01471057, CubeB, 0.027379, 0.003666, 0.065400, Policy
2203, True, Normal, -0.18568606, -0.20323348, -0.01210261, CubeS, 0.068434, 0.004218, 0.065400, Policy
2204, True, Top, -1.71619833, -0.0866841, -1.59131829, Cone1S, 0.014192, 0.002974, 0.050000, Policy
2205, True, Normal, -0.0222355, -0.16292845, -0.09276807, CubeS, -0.000879, 0.015565, 0.065400, Policy
2206, True, Normal, -0.20512884, 0.13048811, -0.12473309, CylinderS, -0.008586, 0.041428, 0.065400, Policy
2207, True, Normal, -0.13794602, -0.17109234, -0.14253623, CubeB, -0.019750, 0.007963, 0.065400, Policy
2208, True, Normal, 0.02069347, -0.24921005, -0.11510378, CubeS, 0.034008, 0.015271, 0.065400, Policy
2209, True, Normal, 0.0041734, -0.19829702, -0.12967068, CubeB, 0.001086, 0.022966, 0.065400, Policy
2210, True, Top, -1.66003135, -0.08019678, -1.68857295, Cone1S, -0.006653, 0.041645, 0.050000, Policy
2211, True, Normal, -0.2140743, -0.13668164, -0.09851753, CylinderS, -0.008057, 0.049432, 0.065400, Policy
2212, True, Normal, -0.23764477, -0.26564807, -0.01041879, CubeB, -0.010374, 0.011039, 0.065400, Policy
2213, True, Normal, -0.10613409, -0.01576414, -0.15360575, CylinderS, 0.056847, 0.017553, 0.065400, Policy
2214, True, Normal, -0.11319728, -0.06997096, -0.20365574, CubeS, -0.045067, 0.008570, 0.065400, Policy
2215, True, Top, -1.56442221, -0.09639901, -1.52536734, Cone1S, -0.024707, 0.011430, 0.050000, Policy
2216, True, Normal, 0.15072589, -0.08959869, -0.02833408, CylinderS, 0.006576, 0.051779, 0.065400, Policy
2217, True, Top, -1.65167411, -0.26757153, -1.62999311, Cone1S, 0.034861, 0.000494, 0.050000, Policy
2218, True, Normal, -0.11681187, -0.0791474, -0.20410747, CubeB, 0.008074, 0.029915, 0.065400, Policy
2219, True, Normal, -0.18188765, -0.04497558, -0.18396992, CubeS, -0.020968, 0.034053, 0.065400, Policy
2220, True, Top, -1.62460876, -0.05438731, -1.66124117, Cone1S, 0.041935, 0.017762, 0.050000, Policy
2221, True, Normal, -0.17088789, 0.0838903, -0.04825193, CubeS, 0.006157, 0.000855, 0.065400, Policy
2222, True, Normal, -0.1068967, -0.19324767, -0.20620297, CylinderS, 0.010657, 0.007069, 0.065400, Policy
2223, True, Normal, -0.22708077, -0.06616383, -0.04041596, CubeB, -0.008421, 0.037295, 0.065400, Policy
2224, True, Normal, -0.09910454, -0.10576599, -0.08608057, CubeS, -0.007694, 0.021673, 0.065400, Policy
2225, True, Normal, -0.05497427, -0.03655774, -0.09975588, CubeB, 0.022577, 0.008923, 0.065400, Policy
2226, True, Top, -1.74415433, -0.06875186, -1.67149402, Cone1S, -0.008912, 0.007373, 0.050000, Policy
2227, True, Normal, -0.13367141, -0.09844439, -0.08517073, CylinderS, 0.003578, 0.007984, 0.065400, Policy
2228, True, Normal, -0.23779528, 0.04255101, -0.18182505, CubeB, -0.000609, 0.021733, 0.065400, Policy
2229, True, Normal, 0.00478932, -0.05852459, 0.03865288, CylinderS, 0.052972, 0.010339, 0.065400, Policy
2230, True, Normal, -0.07075873, 0.06568573, -0.08842262, CubeS, 0.043257, 0.008901, 0.065400, Policy
2231, True, Top, -1.61668191, -0.08890904, -1.71589283, Cone1S, 0.005817, -0.008407, 0.050000, Policy
2232, True, Normal, -0.05191115, -0.07324208, -0.0022933, CylinderS, -0.052431, 0.001570, 0.065400, Policy
2233, True, Top, -1.56252418, -0.05069018, -1.6270145, Cone1S, -0.011694, 0.021425, 0.050000, Policy
2234, True, Normal, -0.1260685, -0.13801894, -0.0542441, CubeB, -0.011690, 0.002319, 0.065400, Policy
2235, True, Normal, -0.02775479, -0.05519179, -0.04333879, CubeS, -0.011902, 0.029565, 0.065400, Policy
2236, True, Top, -1.57170517, -0.14446749, -1.58900543, Cone1S, 0.035742, -0.016227, 0.050000, Policy
2237, True, Normal, -0.13989098, -0.11725842, -0.02422069, CubeS, -0.011707, 0.032440, 0.065400, Policy
2238, True, Normal, -0.23392856, -0.18527043, -0.13226189, CylinderS, -0.030008, 0.027734, 0.065400, Policy
2239, True, Normal, -0.08210352, -0.11952767, -0.10883359, CubeB, -0.022671, 0.018199, 0.065400, Policy
2240, True, Normal, -0.23856187, -0.14402321, -0.06201081, CubeS, -0.053429, 0.001485, 0.065400, Policy
2241, True, Normal, 0.04609076, -0.15982447, -0.1559875, CubeB, -0.008982, 0.006327, 0.065400, Policy
2242, True, Top, -1.68505897, -0.04959304, -1.58029273, Cone1S, 0.022179, -0.009670, 0.050000, Policy
2243, True, Normal, -0.0727044, -0.10548683, -0.10798011, CylinderS, 0.010830, 0.036119, 0.065400, Policy
2244, True, Normal, -0.06258228, -0.13273924, -0.17797275, CubeB, -0.011241, 0.002608, 0.065400, Policy
2245, True, Normal, -0.06854271, -0.10902134, -0.0653007, CylinderS, -0.007702, 0.034257, 0.065400, Policy
2246, True, Normal, -0.00855136, 0.05932365, -0.18705448, CubeS, -0.049578, 0.001963, 0.065400, Policy
2247, True, Top, -1.76685187, -0.13917962, -1.63717242, Cone1S, 0.035419, -0.006447, 0.050000, Policy
2248, True, Normal, -0.02532184, -0.10526838, -0.18316961, CylinderS, 0.012772, 0.036379, 0.065400, Policy
2249, True, Top, -1.68807517, 0.00282487, -1.64149368, Cone1S, -0.034108, 0.036510, 0.050000, Policy
2250, True, Normal, -0.15380956, -0.20249532, 0.07591829, CubeB, -0.045733, 0.000270, 0.065400, Policy
2251, True, Normal, -0.03306948, -0.10915675, -0.22549177, CubeS, -0.001490, 0.031458, 0.065400, Policy
2252, True, Top, -1.6413769, -0.16939757, -1.70596129, Cone1S, 0.041225, -0.017195, 0.050000, Policy
2253, True, Normal, -1.91782429e-01, -1.24817429e-05, 6.09090151e-02, CubeS, -0.027473, 0.005380, 0.065400, Policy
2254, True, Normal, -0.24317396, -0.02643522, -0.21409981, CylinderS, -0.025435, 0.039922, 0.065400, Policy
2255, True, Normal, -0.11211742, -0.099125, 0.10029218, CubeB, 0.060893, 0.016459, 0.065400, Policy
2256, True, Normal, -0.08200642, -0.02630146, 0.00321694, CubeS, 0.009922, 0.040689, 0.065400, Policy
2257, True, Normal, -0.14558662, -0.10479442, -0.23711488, CubeB, 0.031838, 0.006011, 0.065400, Policy
2258, True, Top, -1.67582709, -0.03200917, -1.56494069, Cone1S, 0.001722, -0.006690, 0.050000, Policy
2259, True, Normal, -0.11770376, -0.1837533, -0.12451541, CylinderS, -0.019114, 0.037236, 0.065400, Policy
2260, True, Normal, 0.01277496, -0.13015778, -0.26226463, CubeB, -0.037813, 0.016435, 0.065400, Policy
2261, True, Normal, 0.0201816, -0.29522904, -0.00649427, CylinderS, -0.022723, 0.016425, 0.065400, Policy
2262, True, Normal, -0.06189391, -0.05246886, -0.10568314, CubeS, 0.015321, 0.007188, 0.065400, Policy
2263, True, Top, -1.58588492, -0.0747182, -1.67476602, Cone1S, 0.040543, 0.033594, 0.050000, Policy
2264, True, Normal, -0.07928977, -0.08161846, -0.16126419, CylinderS, -0.006137, 0.022365, 0.065400, Policy
2265, True, Top, -1.52280545, -0.11656221, -1.66440238, Cone1S, 0.042117, 0.030676, 0.050000, Policy
2266, True, Normal, -0.12165906, -0.07608086, -0.08180175, CubeB, -0.055621, 0.016154, 0.065400, Policy
2267, True, Normal, -0.16617852, 0.00273105, -0.13342338, CubeS, 0.005568, 0.040277, 0.065400, Policy
2268, True, Top, -1.61879685, -0.19590634, -1.5885701, Cone1S, -0.036579, -0.058832, 0.050000, Policy
2269, True, Normal, -0.20515973, -0.09667501, -0.14765327, CubeS, -0.001049, 0.010706, 0.065400, Policy
2270, True, Normal, -0.1404637, -0.07562808, -0.11107369, CylinderS, 0.049999, 0.004601, 0.065400, Policy
2271, True, Normal, -0.09522385, -0.05311264, -0.25935547, CubeB, -0.014036, 0.025354, 0.065400, Policy
2272, True, Normal, -0.02928174, -0.21894243, -0.04371234, CubeS, 0.006827, 0.035696, 0.065400, Policy
2273, True, Normal, 0.00236461, -0.20976623, -0.19813818, CubeB, 0.028330, 0.010487, 0.065400, Policy
2274, True, Top, -1.75692487, -0.03746996, -1.56833605, Cone1S, -0.007887, 0.058201, 0.050000, Policy
2275, True, Normal, 0.05211793, -0.24293045, -0.23422254, CylinderS, 0.026817, 0.029908, 0.065400, Policy
2276, True, Normal, -0.0897133, -0.07654164, -0.0956721, CubeB, -0.011417, 0.001012, 0.065400, Policy
2277, True, Normal, -0.00882532, -0.14533721, -0.10303326, CylinderS, 0.017732, 0.004771, 0.065400, Policy
2278, True, Normal, -0.09501939, -0.04609396, -0.09806211, CubeS, 0.004447, 0.028077, 0.065400, Policy
2279, True, Top, -1.7058669, -0.14641526, -1.706102, Cone1S, -0.004237, 0.032562, 0.050000, Policy
2280, True, Normal, 0.02995496, -0.22675312, -0.08749977, CylinderS, 0.008113, 0.035323, 0.065400, Policy
2281, True, Top, -1.6151623, -0.09527283, -1.68946227, Cone1S, -0.000247, -0.025514, 0.050000, Policy
2282, True, Normal, -0.22444855, -0.06706197, -0.11287059, CubeB, -0.027954, 0.009429, 0.065400, Policy
2283, True, Normal, -0.0352153, -0.12936819, -0.09268732, CubeS, -0.006929, 0.047234, 0.065400, Policy
2284, True, Top, -1.60061799, 0.0031544, -1.60319599, Cone1S, -0.012801, -0.048906, 0.050000, Policy
2285, True, Normal, -0.16020567, -0.18558107, -0.06806421, CubeS, -0.050983, 0.003812, 0.065400, Policy
2286, True, Normal, -0.07011433, -0.02866222, 0.01024592, CylinderS, -0.028368, 0.042076, 0.065400, Policy
2287, True, Normal, -0.22844066, -0.09290422, -0.13298023, CubeB, -0.007917, 0.040059, 0.065400, Policy
